"学号" "姓名" "性别" "年龄" "身高" "体重"
1   1   alice  f 13 56.5  84.0
2   2   becka  f 13 65.3  98.0
3   3    gail  f 14 64.3  90.0
4   4   karen  f 12 56.3  77.0
5   5   kathy  f 12 59.8  84.5
6   6    mary  f 15 66.5 112.0
7   7   sandy  f 11 51.3  50.5
8   8  sharon  f 15 62.5 112.5
9   9   tammy  f 14 62.8 102.5
10 10  alfred  m 14 69.0 112.5
11 11    duke  m 14 63.5 102.5
12 12   guido  m 15 67.0 133.0
13 13   james  m 12 57.3  83.0
14 14 jeffery  m 13 62.5  84.0
15 15    john  m 12 59.0  99.5
16 16  philip  m 16 72.0 150.0
17 17  robert  m 12 64.8 128.0
18 18  thomas  m 11 57.5  85.0
19 19 william  m 15 66.5 112.0
